"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"12K";;;
2;"J3,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
3;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22";;;
4;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22u";;;
5;"R4,R2,R5,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"470";;;
6;"SW1,SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";2;"SW_Push";;;
7;"U3";"TO263-3LD_MCH";1;"MIC2940A-5.0WU";;;
8;"C1,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
9;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"RED LED";;;
10;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
11;"U2";"TO263-3LD_MCH";1;"MIC2940A-3.3WU";;;
12;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Green LED";;;
13;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin";;;
14;"J5,J4";"pad_clearancefu";2;"Conn_01x01_Pin";;;
