Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",168.115000,-112.395000,0.000000,top
"C2","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.282500,-109.855000,0.000000,top
"C3","0.22","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",170.815000,-122.152500,-90.000000,top
"C4","0.22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.225000,-122.322500,-90.000000,top
"D1","Green LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",163.634800,-105.020000,90.000000,top
"D4","RED LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.674800,-105.020000,90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",148.955600,-105.196800,90.000000,top
"J2","Conn_01x08_Pin","PinSocket_1x08_P2.54mm_Vertical",173.939200,-79.400400,0.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",173.990000,-108.534200,0.000000,top
"R1","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.506200,-79.949800,90.000000,top
"R2","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.479800,-79.873600,-90.000000,top
"R3","12K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.241800,-95.037400,90.000000,top
"R4","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.718800,-95.012000,-90.000000,top
"R5","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.439600,-100.346400,-90.000000,top
"R8","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",166.538400,-100.397200,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",134.429600,-86.472200,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",134.467600,-102.565200,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",153.505200,-86.761400,0.000000,top
"U2","MIC2940A-3.3WU","TO263-3LD_MCH",136.677400,-118.592600,90.000000,top
"U3","MIC2940A-5.0WU","TO263-3LD_MCH",158.442300,-118.506000,90.000000,top
